State Name,Dist Name,SOIL TYPE PERCENT (Percent),Year_Rainfall,JANUARY NORMAL RAINFALL (Millimeters),FEBRUARY NORMAL RAINFALL (Millimeters),MARCH NORMAL RAINFALL (Millimeters),APRIL NORMAL RAINFALL (Millimeters),MAY NORMAL RAINFALL (Millimeters),JUNE NORMAL RAINFALL (Millimeters),JULY NORMAL RAINFALL (Millimeters),AUGUST NORMAL RAINFALL (Millimeters),SEPTEMBER NORMAL RAINFALL (Millimeters),OCTOBER NORMAL RAINFALL (Millimeters),NOVEMBER NORMAL RAINFALL (Millimeters),DECEMBER NORMAL RAINFALL (Millimeters),ANNUAL NORMAL RAINFALL (Millimeters)
Chhattisgarh,Durg,LOAMY ALFISOLS - 60% ; USTALF/USTOLLS - 40%,Average 30 years,16,27,19,19,21,200,340,344,212,61,14,4,1277
Chhattisgarh,Bastar,LOAMY ALFISOL - 100%,Average 30 years,5,15,17,51,66,212,398,381,246,116,24,4,1535
Chhattisgarh,Raipur,USTALF/USTOLLS - 50% ; LOAMY ALFISOLS - 25% ; VERTISOLS - 15%,Average 30 years,12,20,23,15,17,194,392,394,249,62,8,2,1388
Chhattisgarh,Bilaspur,USTALF/USTOLLS - 100%,Average 30 years,17,30,22,17,18,191,381,387,194,52,13,5,1327
Chhattisgarh,Raigarh,USTALF/USTOLLS - 100%,Average 30 years,18,16,21,8,14,168,475,508,341,57,1,1,1628
Chhattisgarh,Surguja,USTALF/USTOLLS - 100%,Average 30 years,22,22,21,9,15,143,435,465,224,47,1,2,1406
Madhya Pradesh,Jabalpur,VERTIC SOILS - 85% ; VERTISOLS - 15%,Average 30 years,26,22,15,9,15,170,505,401,212,50,17,5,1447
Madhya Pradesh,Balaghat,VERTIC SOILS - 85% ; VERTISOLS - 15%,Average 30 years,20,35,25,19,14,191,508,450,126,61,16,9,1474
Madhya Pradesh,Chhindwara,VERTIC SOILS - 85% ; VERTISOLS - 15%,Average 30 years,23,2,13,13,13,146,319,283,188,69,22,3,1094
Madhya Pradesh,Narsinghpur,VERTISOLS - 80% ; VERTIC SOILS - 20%,Average 30 years,28,18,13,10,15,177,567,474,292,66,24,5,1690
Madhya Pradesh,Seoni / Shivani,VERTIC SOILS - 85% ; VERTISOLS - 15%,Average 30 years,25,24,23,21,23,207,479,345,194,76,25,5,1447
Madhya Pradesh,Mandla,VERTIC SOILS - 85% ; VERTISOLS - 15%,Average 30 years,29,15,28,16,8,132,480,420,214,71,9,3,1425
Madhya Pradesh,Sagar,VERTIC SOILS - 50% ; VERTISOLS - 50%,Average 30 years,30,13,10,4,8,145,463,419,228,44,24,7,1395
